subject,tag,Number of Smells,Smell
AdvBox,9a8ab21e8bfc85238525197be26d9c5d8e871975,2,LongBaseClassList
AdvBox,9b5d6f356539738515d5f24a781420ad849d8e72,3,LongBaseClassList
AdvBox,9b715e3fe29628b516e069d0c6bc838c2620412e,1,LongBaseClassList
AdvBox,9ccd5691912e0e480d8f37d3ad4098889774c7ab,4,LongBaseClassList
AdvBox,9d41b9ca9611569d0f6203cb4a5a2fc90d5461b7,2,LongBaseClassList
AdvBox,9e47e2f150bd4b33681ba2d66fcfb5f512a3bafc,1,LongBaseClassList
AdvBox,9e707557cb92801134281084a48fae8f481a4731,4,LongBaseClassList
AdvBox,9eec4c86920100fdb0f23216e10b33dc5e2e386a,4,LongBaseClassList
AdvBox,9f2caf7c6f96abd8e862c650c66c5162eb624a43,2,LongBaseClassList
AdvBox,a0785d0ea70ae3344d3b5de411a308c4ef6a3968,3,LongBaseClassList
AdvBox,a1463a379a4f11afc173638d4f8912e1caf3ce5a,2,LongBaseClassList
AdvBox,a3322b70ae10219381b5f59588aaa1a6e46dcf1d,2,LongBaseClassList
AdvBox,a374fc247cf613291105a92064d5dc621d21f042,2,LongBaseClassList
AdvBox,a4bb39fc6e65dd86e81c709387bd8fb5cd5ed4c5,2,LongBaseClassList
AdvBox,a4ecf3026aa3e125463c513f93c4e2abf92a5120,1,LongBaseClassList
AdvBox,a6b862271c9a6bf749d85ccc338755a0c1be87e9,4,LongBaseClassList
AdvBox,a712a7e5bbefd1b078d45f522c055aab645e0dc0,2,LongBaseClassList
AdvBox,a735152cac2908e9e0ef0b7a4b354789aadd4879,4,LongBaseClassList
AdvBox,a8201ba6f9c800fcad115bfa37d37be3f73781c1,3,LongBaseClassList
AdvBox,a85328434f96a4ab70c5e753681ea1c75f0480a6,3,LongBaseClassList
AdvBox,aac9db6b0ae5071bb07a449514a8e4e85b5b2846,1,LongBaseClassList
AdvBox,ab45517c1cee0882a5cc6b1604fcb08105fbce6f,2,LongBaseClassList
AdvBox,abdc2c3f7ae4c319a3dcbbdf2189374c03c1791b,1,LongBaseClassList
AdvBox,ac404b76b8b4e1afe2e86b4351c32a2bc291fc88,4,LongBaseClassList
AdvBox,adc212761cb643843d27aa5efaad5af1aa90555f,1,LongBaseClassList
AdvBox,ade2fb9f64e89d5c060625955fc98700529717cc,4,LongBaseClassList
AdvBox,afa437129e90804dd85bf85cac43c780003c922a,2,LongBaseClassList
AdvBox,afcf3a0a32bdb7a0c3e36e7b30fc5c5268852bd2,2,LongBaseClassList
AdvBox,afde8c5017e8e7ae52cbbf8afb57c1e98f4e5d00,2,LongBaseClassList
AdvBox,b0bf2fb0fcbd287f2e1a4e4950dc8829bc7b04b2,1,LongBaseClassList
AdvBox,b1dc08a1a31e9049baaa6c28289aead0ed69badd,3,LongBaseClassList
AdvBox,b3d947e5bd305008b2df8c19a87b09bfee100413,2,LongBaseClassList
AdvBox,b466eb2a48091e98ed17728334eed2d58b9526df,3,LongBaseClassList
AdvBox,b4e2ceb8385e22b3477eb7d7d5e9417ae6d1d093,1,LongBaseClassList
AdvBox,b5a7dd7145ff89f5686a5d18d88482746a22a251,3,LongBaseClassList
AdvBox,b71bf915e4a24cf660748cd71a1d198dbc6817f0,1,LongBaseClassList
AdvBox,b7a3caf64d9f1d125438964f6ca85fcc6080c618,4,LongBaseClassList
AdvBox,b7fefa7bd6cc126dab0557bb4a937eebf7df35fe,2,LongBaseClassList
AdvBox,b84d6ddba85c94d42499948bb447ad98489ed9e4,2,LongBaseClassList
AdvBox,b85293fd8e05eccd259982a83e1f194c8d502aab,1,LongBaseClassList
AdvBox,ba07c1f06d47970db46f34b1c0ac5fc19bec9e11,1,LongBaseClassList
AdvBox,ba242478f723bc291166d3ef1b7769d384613638,1,LongBaseClassList
AdvBox,bb35a7c2e40c03e9214bd4591f7aac329e9eea02,2,LongBaseClassList
AdvBox,bb73c8d04907935ec97b24454a7ea3e74ba1b732,1,LongBaseClassList
AdvBox,bbbd99106a3f7d84709abb7361cd78b3c43c9e4f,1,LongBaseClassList
AdvBox,bbd7de2477b191abf28b8027bd5074e94a2ebba6,1,LongBaseClassList
AdvBox,bc473236b5e283e1f8d4050b72251b8d9c90003e,4,LongBaseClassList
AdvBox,bd48589d69b154f02b4e010691c6266e46e9c17c,1,LongBaseClassList
AdvBox,be5e7284089f906f7597f8cf988fe3ba5220b7b7,1,LongBaseClassList
AdvBox,be6c616467d81d6b3bd92cb306401f165522be50,10,LongBaseClassList
AdvBox,be6ca31515570adff70fbc1d2c646cfeba668c81,1,LongBaseClassList
AdvBox,be7237297a0f250c82d2b2ad5821d9d62cda4a94,1,LongBaseClassList
AdvBox,bee318c75f64fd38434f06e3ff2842b435d53713,1,LongBaseClassList
